Date,IB_USD_TND,IB_EUR_TND,IB_GBP_TND,IB_JPY_TND,FIX_USD_Bid,FIX_USD_Ask,FIX_USD_Mid,FIX_EUR_Bid,FIX_EUR_Ask,FIX_EUR_Mid,EUR_USD,GBP_USD,USD_JPY,SPREAD_USD,SPREAD_EUR,ret_EUR_USD,ret_GBP_USD,ret_USD_JPY,ret_FIX_USD
2020-06-24,2.8578,3.2311,3.5507,26.6485,2.8459,2.8487,2.8473,3.2068,3.2101,3.20845,1.125,1.2418,107.02,0.010499999999999954,0.02265000000000006,-0.004965429602669963,-0.008020575559808674,0.004776855428084481,0.004276330989481325
2020-06-25,2.8697,3.2235,3.544,26.635,2.8548,2.8577,2.85625,3.2022,3.2055,3.20385,1.1217,1.2414,107.19,0.01344999999999974,0.019649999999999945,-0.00293764398734285,-0.00032216495124004485,0.0015872278202690993,0.0031383988379585226
2020-06-26,2.8684,3.2258,3.5315,26.6618,2.8572,2.86,2.8586,3.2028,3.206,3.2044,1.1217,1.2333,107.21,0.009799999999999809,0.021399999999999864,0.0,-0.0065462714076099104,0.00018656716471987522,0.0008224188324998938
2020-06-29,2.8614,3.2253,3.5074,26.5091,2.8513,2.8541,2.8527,3.2104,3.2137,3.21205,1.124,1.2296,107.56,0.008700000000000152,0.013249999999999762,0.002048359802458821,-0.0030045903475563462,0.0032593035325163555,-0.0020660802615064533
2020-06-30,2.8689,3.2176,3.5202,26.5431,2.8577,2.8606,2.85915,3.2052,3.2085,3.20685,1.1231,1.2399,107.92,0.009749999999999925,0.010749999999999815,-0.0008010324846460803,0.00834181796141023,0.003341380498835811,0.002258463629683405
2020-07-01,2.8659,3.214,3.5435,26.5916,2.8584,2.8613,2.85985,3.2017,3.205,3.20335,1.125,1.247,107.46,0.006050000000000111,0.010650000000000048,0.0016903166695301092,0.005709935494240176,-0.004271526598825126,0.00024479804283794593
2020-07-02,2.8508,3.2141,3.5583,26.4669,2.8453,2.8481,2.8467,3.2086,3.2119,3.21025,1.1238,1.2466,107.48,0.004100000000000215,0.003850000000000353,-0.001067235960422755,-0.0003208213052863784,0.00018609844661554575,-0.004608747238207256
2020-07-03,2.8612,3.2151,3.5531,26.5361,2.8527,2.8556,2.85415,3.2043,3.2076,3.20595,1.1248,1.2483,107.5,0.007050000000000001,0.009149999999999991,0.0008894423783027267,0.0013627802822550883,0.0001860638204265186,0.0026136468214408293
2020-07-06,2.8519,3.219,3.5521,26.4185,2.8401,2.8429,2.8415,3.2127,3.216,3.21435,1.1308,1.2491,107.35,0.010400000000000187,0.004649999999999821,0.005320104763034822,0.0006406663148584013,-0.0013963232429272665,-0.004441993732087202
2020-07-07,2.8533,3.2226,3.5559,26.4216,2.8454,2.8483,2.84685,3.2093,3.2126,3.21095,1.127,1.254,107.51,0.006450000000000067,0.011649999999999938,-0.003366111779658995,0.003915150221002361,0.0014893421723467526,0.00188103811386231
